Zeit,CPU_Apache1,CPU_Apache2,CPU_Work,CPU_Haproxy,CPU_Redis,CPU_MariaDB
19:23:22,0.47,0.17,0.57,0.05,0.2,0.07
19:23:50,0.32,0.52,0.18,0.02,0.2,0.04
19:24:19,0.19,0.19,0.15,0.06,0.17,0.03
19:24:47,0.15,0.29,0.17,0.03,0.16,0.01
19:25:16,0.3,0.23,0.26,0.03,0.21,0.03
19:25:45,0.57,0.56,0.15,0.03,0.26,0.08
19:26:13,0.19,0.17,0.56,0.08,0.27,0.05
19:26:42,0.17,0.18,99.15,0.06,0.15,285.4
19:27:11,0.2,1.71,98.68,0.02,0.18,181.72
19:27:40,0.16,0.54,0.14,0.06,0.22,0.02
19:28:08,0.13,0.49,0.24,0.08,0.25,0.02
19:28:37,0.2,0.36,0.22,0.03,0.21,0.02
19:29:06,0.47,0.25,0.15,0.02,0.16,0.04
19:29:35,0.57,0.59,0.5,0.02,0.12,0.05
19:30:04,0.17,0.15,0.12,0.03,0.15,0.02
19:30:32,0.22,0.16,0.25,0.04,0.26,0.02
19:31:01,0.13,0.16,0.27,0.02,0.17,0.03
19:31:29,0.57,0.19,0.16,0.36,0.14,0.05
19:31:58,0.2,0.14,0.17,0.64,0.26,0.02
19:32:26,0.14,0.13,0.15,0.34,0.19,0.03
19:32:55,0.43,0.36,0.25,0.03,0.19,0.03
19:33:24,0.14,0.18,0.24,0.05,0.25,0.08
19:33:52,0.2,0.24,0.14,0.02,0.27,0.03
19:34:21,0.19,0.15,0.25,0.04,0.16,0.04
19:34:50,0.18,0.56,0.35,0.04,0.17,0.03
19:35:19,0.51,0.58,0.43,0.03,89.89,0.01
19:35:48,0.36,0.22,0.21,0.02,0.23,0.04
19:36:16,0.18,0.21,0.16,0.08,0.33,0.04
19:36:45,0.2,0.23,0.11,0.03,0.12,0.01
19:37:14,0.13,0.29,0.16,0.06,0.23,0.03
19:37:42,0.14,0.18,0.18,0.03,0.13,0.02
19:38:11,0.32,0.2,0.52,0.04,0.19,0.03
19:38:40,0.19,0.44,0.16,0.04,0.17,0.02
19:39:08,0.16,0.3,0.17,0.03,0.23,0.03
19:39:37,0.17,0.12,0.49,0.05,0.17,0.02
19:40:05,0.23,0.83,0.49,0.05,0.2,0.08
19:40:34,0.17,0.23,0.13,0.03,0.19,0.04
19:41:04,0.28,0.34,0.28,0.02,0.24,0.05
19:41:32,0.16,0.17,0.79,0.05,0.25,0.01
19:42:01,0.26,0.38,0.57,0.1,0.29,0.06
19:42:30,0.25,0.32,0.62,0.05,0.13,0.02
19:42:59,0.19,0.14,0.15,0.03,0.15,0.02
19:43:27,0.33,0.13,0.17,0.04,0.13,0.02
19:43:56,0.15,0.17,0.17,0.02,0.23,0.05
19:44:24,0.21,0.79,0.57,0.04,0.26,0.03
19:44:53,0.17,0.48,0.15,0.31,0.19,0.05
19:45:21,101.26,94.68,55.17,119.63,0.11,0.06
19:45:50,0.27,0.2,0.16,0.28,0.18,0.03
19:46:19,0.64,0.15,0.64,0.82,0.33,0.03
19:46:48,0.6,0.32,0.45,0.7,0.25,0.04
19:47:18,0.27,0.31,0.49,0.61,0.27,0.07
19:47:47,0.16,0.13,0.18,0.02,0.13,0.02
19:48:15,0.59,0.15,0.18,0.04,0.19,0.04
19:48:44,0.23,0.21,0.15,0.03,0.13,0.02
19:49:14,0.19,0.17,0.24,0.03,0.2,0.03
19:49:41,0.15,0.56,0.5,0.05,0.2,0.04
19:50:10,0.63,0.2,0.15,0.05,0.14,0.03
19:50:38,0.45,0.2,0.16,0.03,0.34,0.03
19:51:07,0.24,0.59,0.16,0.05,0.15,0.02
19:51:36,0.14,0.22,0.3,0.04,0.12,0.04
19:52:04,0.19,0.36,0.24,0.06,0.19,0.02
19:52:34,0.24,0.4,0.3,0.04,0.14,0.02
19:53:02,0.68,0.33,0.19,0.07,0.17,0.02
19:53:31,87.68,85.99,56.67,122.71,0.13,0.06
19:54:00,0.31,0.23,0.16,0.03,0.19,0.02
19:54:28,0.18,0.2,0.16,0.03,0.13,0.02
19:54:56,0.17,0.18,0.17,0.02,0.12,0.02
19:55:23,0.2,0.22,0.37,0.25,0.14,0.02
19:55:51,0.37,0.26,0.21,0.05,0.23,0.02
19:56:19,0.18,0.44,0.52,0.07,0.34,0.05
19:56:46,0.24,0.52,0.52,0.09,0.32,0.05
19:57:15,0.33,0.55,0.63,0.03,0.26,0.03
19:57:43,0.57,0.42,0.44,0.03,0.28,0.03
19:58:11,0.14,0.18,0.58,0.03,0.31,0.07
19:58:38,0.17,0.91,60.53,122.3,0.11,62.85
19:59:06,0.18,0.22,69.69,0.29,0.13,0.09
19:59:34,0.3,0.52,0.34,0.07,0.27,0.05
20:00:01,0.18,0.14,99.04,0.04,0.1,0.05
20:00:29,0.15,0.83,0.58,0.04,0.13,0.02
20:00:56,0.17,0.16,0.15,0.02,0.12,0.02
20:01:25,0.15,0.16,0.2,0.07,0.22,0.07
20:01:53,0.32,0.35,0.32,0.08,0.3,0.08
20:02:20,0.25,0.29,0.26,0.0,0.19,0.04
