Zeit,CPU_Apache1,CPU_Apache2,CPU_Work,CPU_Haproxy,CPU_Redis,CPU_MariaDB,RAM_Apache1,RAM_Apache2,RAM_Work,RAM_Haproxy,RAM_Redis,RAM_MariaDB
17:27:45,0.16,0.11,0.12,0.02,0.09,103.91,40.6MiB,33.59MiB,22.3MiB,82.22MiB,13.4MiB,217.4MiB
17:28:29,0.15,0.12,0.13,0.03,0.10,99.69,40.6MiB,33.59MiB,22.29MiB,82.21MiB,13.4MiB,212.4MiB
17:29:12,0.11,0.34,0.14,0.00,0.09,105.35,40.6MiB,33.59MiB,22.29MiB,82.22MiB,13.4MiB,215.1MiB
17:29:56,0.11,0.14,0.13,0.08,0.09,101.32,40.68MiB,34.09MiB,22.28MiB,82.22MiB,13.34MiB,212.6MiB
17:30:39,11.41,0.11,0.13,0.01,0.10,103.49,41.07MiB,34.08MiB,22.28MiB,82.21MiB,13.34MiB,214.3MiB
17:31:23,0.13,5.78,0.26,0.04,0.15,103.77,41.07MiB,34.28MiB,22.28MiB,82.22MiB,13.34MiB,215.9MiB
17:32:07,0.18,0.10,0.17,0.04,0.09,106.53,41.07MiB,34.28MiB,22.27MiB,82.21MiB,13.34MiB,219.5MiB
17:32:50,0.11,0.13,0.13,0.00,0.10,104.33,41.16MiB,34.38MiB,25.43MiB,82.19MiB,13.53MiB,212.8MiB
17:33:34,0.11,0.14,0.11,0.00,0.09,104.39,41.16MiB,34.38MiB,24.75MiB,82.18MiB,13.53MiB,215.4MiB
17:34:17,0.12,0.11,0.15,0.40,0.09,105.47,41.16MiB,34.39MiB,21.91MiB,82.18MiB,13.53MiB,219.4MiB
17:35:01,0.12,0.10,0.15,0.03,0.10,100.31,41.16MiB,34.5MiB,21.91MiB,82.18MiB,13.46MiB,213.8MiB
17:35:45,0.13,0.11,0.12,0.00,0.10,105.08,41.15MiB,34.5MiB,21.91MiB,82.18MiB,13.47MiB,213.9MiB
17:36:28,0.11,0.13,0.13,0.18,0.09,102.61,41.16MiB,34.5MiB,21.91MiB,82.18MiB,13.47MiB,216.7MiB
17:37:12,0.11,0.11,0.12,0.04,0.09,102.27,41.16MiB,34.5MiB,21.91MiB,82.18MiB,13.47MiB,215.4MiB
17:37:55,0.11,0.11,0.11,0.03,0.10,103.30,41.16MiB,34.5MiB,21.91MiB,82.17MiB,13.47MiB,215.6MiB
17:38:39,0.10,0.12,0.13,0.00,0.09,104.50,41.16MiB,34.5MiB,21.91MiB,82.18MiB,13.47MiB,212.8MiB
17:39:22,0.13,0.12,0.14,0.00,0.09,106.87,41.16MiB,34.5MiB,21.91MiB,82.18MiB,13.47MiB,217.7MiB
17:40:06,0.11,0.11,0.13,0.02,0.09,107.14,41.16MiB,34.51MiB,40.19MiB,82.18MiB,13.47MiB,212.5MiB
17:40:50,18.71,14.34,2.73,0.85,0.83,108.89,45.84MiB,35.12MiB,42.52MiB,82.2MiB,13.39MiB,218.5MiB
17:41:33,12.67,12.39,1.50,0.62,0.50,104.73,41.43MiB,39.03MiB,45.53MiB,82.2MiB,13.41MiB,214.3MiB
17:42:17,6.21,0.12,0.12,0.01,0.09,101.26,41.39MiB,35.14MiB,32.75MiB,82.16MiB,13.43MiB,215.8MiB
17:43:00,0.11,0.11,0.16,0.00,0.10,104.65,41.35MiB,35.1MiB,32.86MiB,82.17MiB,13.43MiB,213.9MiB
17:43:44,0.13,0.12,0.14,0.03,0.10,105.06,41.35MiB,35.1MiB,32.75MiB,82.17MiB,13.43MiB,214.1MiB
17:44:28,0.10,0.11,0.25,0.19,0.10,106.59,41.35MiB,35.1MiB,39.02MiB,82.17MiB,13.43MiB,214.3MiB
17:45:11,6.55,12.69,1.30,0.63,0.59,107.87,41.39MiB,38.58MiB,46.6MiB,82.19MiB,13.45MiB,211.2MiB
17:45:55,34.36,25.83,2.13,0.99,0.82,103.31,41.62MiB,35.36MiB,49.06MiB,82.23MiB,13.57MiB,216.3MiB
17:46:38,36.14,17.91,1.82,0.78,0.61,105.02,41.88MiB,35.55MiB,49.07MiB,82.2MiB,13.59MiB,216.7MiB
17:47:22,0.12,0.12,0.12,0.04,0.09,100.48,41.79MiB,35.46MiB,33.03MiB,82.16MiB,13.58MiB,215.7MiB
17:48:06,0.11,0.12,0.19,0.00,0.11,105.92,41.75MiB,35.43MiB,33.03MiB,82.17MiB,13.58MiB,215.6MiB
17:48:49,0.18,0.16,0.12,0.00,0.12,106.14,41.75MiB,35.51MiB,33.03MiB,82.18MiB,13.58MiB,215.5MiB
17:49:33,22.11,35.44,2.70,1.21,1.11,106.69,44.58MiB,35.62MiB,46.65MiB,82.2MiB,13.63MiB,210.2MiB
17:50:16,43.87,29.27,2.34,1.20,1.01,103.53,44.07MiB,35.73MiB,48.75MiB,82.2MiB,13.7MiB,211.7MiB
17:51:00,6.93,2.79,0.77,0.16,0.10,101.58,42.09MiB,35.7MiB,33.02MiB,82.17MiB,13.74MiB,215.3MiB
17:51:44,0.11,0.10,0.19,0.00,0.11,104.78,41.99MiB,35.62MiB,33.03MiB,82.16MiB,13.74MiB,216.2MiB
17:52:27,0.17,0.15,1.21,0.00,0.10,102.78,41.99MiB,35.61MiB,33.02MiB,82.17MiB,13.74MiB,215.1MiB
17:53:11,0.14,0.17,0.14,0.04,0.18,104.08,41.99MiB,35.61MiB,33.02MiB,82.17MiB,13.74MiB,218.2MiB
17:53:54,0.46,0.16,0.16,0.05,0.15,105.65,41.99MiB,35.61MiB,33.02MiB,82.16MiB,13.74MiB,212.8MiB
17:54:38,0.17,0.17,0.17,0.36,1.64,106.19,41.99MiB,35.61MiB,33.02MiB,82.16MiB,13.74MiB,215.3MiB
17:55:22,0.15,0.16,0.17,0.00,0.11,108.26,41.99MiB,35.61MiB,33.02MiB,82.16MiB,13.74MiB,216.9MiB
17:56:05,0.15,0.19,0.16,0.05,0.11,106.97,41.99MiB,35.61MiB,33.03MiB,82.16MiB,13.74MiB,211.3MiB
