Sekunden,apache1,apache2,apache3,haproxy,mariadb,redis
0,0.15,0.17,0.21,0.02,0.02,0.14
16,0.15,0.20,0.17,0.04,0.02,0.15
34,0.11,0.20,0.17,0.05,0.02,0.13
50,0.18,0.16,0.17,0.05,0.02,0.15
66,0.17,0.18,0.13,0.02,0.02,0.32
84,0.21,0.22,0.18,0.34,0.02,0.14
100,0.16,53.39,56.39,106.13,0.01,0.21
119,0.22,0.18,0.17,0.06,0.02,0.14
135,0.15,0.47,0.21,0.09,0.04,0.23
153,0.15,0.15,0.20,0.02,0.03,0.13
169,0.17,0.17,0.27,0.07,0.03,0.28
185,0.17,0.21,0.17,0.09,0.02,0.13
204,0.16,0.22,0.17,0.04,0.02,0.14
220,0.19,0.18,0.17,0.04,0.03,0.12
238,0.15,0.16,0.16,0.03,0.02,0.12
254,0.17,0.18,0.18,0.03,0.03,0.22
273,0.18,0.64,0.19,0.11,0.03,99.91
289,0.39,0.19,0.14,0.08,0.02,104.16
305,0.37,0.34,0.21,1.57,0.01,106.08
323,0.15,0.45,0.31,0.03,0.03,96.45
340,0.69,0.15,0.25,0.13,0.08,0.14
358,0.23,0.21,0.16,0.18,0.03,0.14
374,0.45,0.19,0.49,0.06,0.03,0.24
393,0.21,0.14,0.18,0.04,0.02,0.15
409,0.16,0.28,0.17,0.06,0.03,0.19
425,0.88,0.18,0.15,0.31,0.02,0.30
443,0.15,0.20,0.25,0.06,0.01,0.13
459,0.18,0.19,0.16,0.03,0.04,0.24
478,0.18,0.17,0.16,0.02,0.02,0.14
494,0.23,0.20,0.21,0.06,0.03,0.13
512,0.23,62.41,60.29,104.86,0.02,68.56
529,0.56,0.19,0.20,0.06,0.01,0.27
545,0.32,0.16,0.17,0.02,0.02,0.18
563,0.28,0.71,0.23,0.05,0.02,0.14
579,0.68,0.15,0.14,0.07,0.02,0.15
598,0.16,0.40,0.18,0.05,0.02,0.34
614,0.16,0.42,0.17,0.02,0.02,0.14
632,0.18,0.14,0.15,0.05,0.02,0.14
647,0.17,0.38,0.17,0.28,0.02,0.14
665,0.16,0.14,0.15,0.05,0.02,0.14
681,0.20,0.20,0.20,0.03,0.02,0.19
700,0.20,0.21,0.25,0.00,0.02,0.32
716,0.35,0.29,0.15,0.04,0.03,0.14
735,0.16,0.78,0.18,0.14,0.03,0.18
751,0.19,0.18,0.17,0.08,0.06,0.27
767,0.65,0.24,0.18,0.02,0.02,0.25
785,9.38,19.45,56.44,3.57,2.64,4.95
801,86.25,72.25,99.38,6.10,5.44,4.87
820,100.56,101.85,100.21,7.43,5.60,6.13
837,119.13,100.16,99.86,4.69,6.22,6.76
853,99.71,103.34,98.90,4.55,6.45,7.92
872,98.29,98.41,100.33,3.32,5.93,4.87
888,40.09,13.06,0.41,0.09,0.02,0.18
907,0.16,0.16,0.13,0.01,0.03,0.14
923,0.16,0.15,0.16,0.03,0.02,0.32
941,0.14,0.16,0.18,0.05,0.03,0.13
957,0.19,0.15,0.25,0.05,0.02,0.14
973,0.19,0.17,3.78,0.54,0.79,0.71
991,14.35,25.34,29.24,3.04,2.13,1.19
1007,41.99,41.51,32.95,3.67,4.67,1.10
1026,54.51,57.57,75.51,4.45,3.55,1.82
1042,48.26,38.53,21.21,0.58,0.04,0.15
1060,0.19,0.17,0.17,0.06,0.02,0.15
1076,0.14,0.17,0.18,0.02,0.03,0.13
1092,0.17,0.17,0.34,0.02,0.03,0.13
1110,0.21,0.18,0.19,0.25,0.01,0.16
1126,0.16,0.15,0.16,0.04,0.04,0.14
1145,0.18,0.18,0.16,0.05,0.11,0.29
1161,0.16,0.20,0.18,0.06,0.05,0.18
1179,0.18,0.61,0.23,0.05,0.02,0.25
1195,0.21,0.19,0.25,0.03,0.04,0.27
1212,0.23,0.22,0.26,0.09,0.04,0.19
1230,0.20,0.30,0.19,0.39,0.01,0.25
1246,0.32,0.23,0.21,0.08,0.03,0.16
1265,0.21,0.26,0.56,0.06,0.02,0.21
1281,0.20,0.73,0.64,0.09,0.02,0.30
1300,0.74,0.16,0.17,0.02,0.03,0.17
1316,0.27,0.68,0.16,0.00,0.03,0.15
1332,0.16,0.22,0.17,0.05,0.03,0.16
1350,0.18,6.22,17.55,2.31,2.39,1.15
1366,58.92,68.85,64.81,5.04,5.95,1.33
1385,71.88,107.46,82.22,6.26,5.11,2.23
1401,94.94,86.01,68.78,6.24,5.29,2.10
1420,23.43,14.82,4.60,0.40,0.06,0.16
1436,0.73,0.17,0.60,0.49,0.02,0.27
1453,0.21,0.16,0.19,0.02,0.03,0.26
1471,0.18,0.23,0.19,0.26,0.06,0.30
1487,0.15,0.15,0.17,0.02,0.02,0.14
1505,34.77,43.08,12.88,36.49,0.01,0.27
1522,43.01,38.79,10.74,0.03,0.02,0.26
1538,0.15,0.14,0.16,0.00,0.03,0.22
1557,0.17,0.39,0.65,0.05,0.01,0.19
1573,0.16,0.20,0.15,0.05,0.04,0.28
1591,0.18,0.19,0.19,0.98,0.07,0.14
1607,0.14,0.17,0.16,0.03,0.02,0.42
1626,0.20,0.18,0.16,0.00,0.02,0.15
1641,0.17,0.17,0.13,0.02,0.02,0.15
1657,0.19,0.46,0.71,0.06,0.02,0.38
1676,0.26,0.18,0.15,0.08,0.01,0.14
1692,0.18,0.19,0.18,0.30,0.03,0.14
